SampleID,Cq_SAMP_B2M,Cq_SAMP_Tel,RTL_PU_CAL,RTL_resp_CAL,RTL_No_CAL,RTL_NO_CAL_Corrected,Plate,ExtrMethod
10,26.19007862,14.34763282,1.372877954,1.372877954,0.000558184,1.143706842,Puregene 4,PU
10,NA,NA,NA,NA,NA,NA,Puregene 4,PU
10,NA,NA,NA,NA,NA,NA,Puregene 4,PU
10,26.16916096,14.54666533,0.893436025,1.176344788,0.000577426,0.993563747,SpinColumn 1,SC
10,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
10,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
10,26.14062891,15.05719126,0.882962645,1.084391875,0.000729216,0.712760609,SpinColumn 2,SC
10,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
10,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
10,26.1722398,14.7289336,0.958727588,1.108,0.00059366,0.888984238,SpinColumn 3,SC
10,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
10,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
10,26.20071806,15.08198865,0.861158568,1.095572055,0.00073145,0.73052203,SpinColumn 4,SC
10,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
10,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
10,25.47230146,13.65064817,0.853362476,1.220963341,0.000562296,1.118383839,PlateExtr 1,SP
10,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
10,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
10,25.41283882,13.97099522,0.984470856,1.29,0.000650978,0.879781434,PlateExtr 2,SP
10,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
10,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
10,25.47072798,13.46391582,0.97243599,1.357,0.000495795,1.256377526,PlateExtr 3,SP
10,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
10,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
10,25.431065,13.97889733,1.016233555,1.197,0.000611048,0.883333765,PlateExtr 4,SP
10,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
10,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
